id,ei_code,ei_big_contribuitor,name,tax_ids/tax_src_id,tax_ids/tax_dest_id,account_ids/account_src_id,account_ids/account_dest_id
,,,,co_com_tax_rteiva_2_4gt,,co_com_puc_510542,co_com_puc_720542
,,,,co_com_tax_rteiva_2_4lt,,co_com_puc_510545,co_com_puc_720545
,,,,co_com_tax_rteiva_2_85gt,,co_com_puc_510548,co_com_puc_720548
,,,,co_com_tax_rteiva_2_85lt,,co_com_puc_510551,co_com_puc_720551
,,,,co_com_tax_rtefte_0_1gt,,co_com_puc_510554,co_com_puc_720554
,,,,co_com_tax_rtefte_0_1lt,,co_com_puc_510557,co_com_puc_720557
,,,,co_com_tax_rtefte_0_5gt,,co_com_puc_510559,co_com_puc_720559
,,,,co_com_tax_rtefte_0_5lt,,co_com_puc_510560,co_com_puc_720560
,,,,co_com_tax_rtefte_1gt,,co_com_puc_510563,co_com_puc_720563
,,,,co_com_tax_rtefte_1lt,,co_com_puc_510566,co_com_puc_720566
,,,,co_com_tax_rtefte_1_5gt,,co_com_puc_510568,co_com_puc_720568
,,,,co_com_tax_rtefte_1_5lt,,co_com_puc_510569,co_com_puc_720569
,,,,co_com_tax_rtefte_2gt,,co_com_puc_510570,co_com_puc_720570
,,,,co_com_tax_rtefte_2lt,,co_com_puc_510572,co_com_puc_720572
,,,,co_com_tax_rtefte_2_5gt,,co_com_puc_510575,co_com_puc_720575
,,,,co_com_tax_rtefte_2_5lt,,co_com_puc_510578,co_com_puc_720578
,,,,co_com_tax_rtefte_3_5gt,,co_com_puc_510581,co_com_puc_720581
,,,,co_com_tax_rtefte_3_5lt,,co_com_puc_510584,co_com_puc_720584
,,,,co_com_tax_rtefte_4gt,,co_com_puc_510595,co_com_puc_720595
,,,,co_com_tax_rtefte_4lt,,co_com_puc_510599,co_com_puc_720599
,,,,co_com_tax_rtefte_6gt,,,
,,,,co_com_tax_rtefte_6lt,,,
,,,,co_com_tax_rtefte_7gt,,,
,,,,co_com_tax_rtefte_7lt,,,
,,,,co_com_tax_rtefte_10gt,,,
,,,,co_com_tax_rtefte_10lt,,,
,,,,co_com_tax_rtefte_11gt,,,
,,,,co_com_tax_rtefte_11lt,,,
,,,,co_com_tax_rteica_0gt,,,
,,,,co_com_tax_rteica_0lt,,,
,,,,co_com_tax_rteica_0_414gt,,,
,,,,co_com_tax_rteica_0_414lt,,,
,,,,co_com_tax_rteica_0_69gt,,,
,,,,co_com_tax_rteica_0_69lt,,,
,,,,co_com_tax_rteica_0_966gt,,,
,,,,co_com_tax_rteica_0_966lt,,,
,,,,co_com_tax_rteica_1_104gt,,,
,,,,co_com_tax_rteica_1_104lt,,,
,,,,co_com_tax_rteica_1_38gt,,,
,,,,co_com_tax_rteica_1_38lt,,,
