"id","code","name","group_id:id","reconcile","account_type","tag_ids:name"
"7_co_com_puc_191056","191056","Envases Y Empaques","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191060","191060","Plantaciones Agrícolas Y Forestales","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191064","191064","Vías De Comunicación","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191068","191068","Minas Y Canteras","group_1_5_bio_cor",0,"asset_current",
"7_co_com_puc_191072","191072","Pozos Artesianos","group_1_5_bio_cor",0,"asset_current",
"7_co_com_puc_191076","191076","Yacimientos","group_1_5_bio_cor",0,"asset_current",
"7_co_com_puc_191080","191080","Semovientes","group_1_5_bio_cor",0,"asset_current",
"7_co_com_puc_191095","191095"," Plant and Equipment","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191099","191099"," Plant and Equipment","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_199500","199500","De Otros Activos",,0,"off_balance",
"7_co_com_puc_199505","199505","Bienes De Arte Y Cultura","group_1_9_art_cul",0,"asset_current",
"7_co_com_puc_199510","199510","Bienes Entregados En Comodato","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_199515","199515","Bienes Recibidos En Pago","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_199520","199520","Inventario De Semovientes","group_1_5_bio_cor",0,"asset_current",
"7_co_com_puc_199595","199595","Otras Valorizaciones De Otros Activos","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_199599","199599","Deterioro Valorizaciones De Deterioro Otros Activos","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_200000","200000","*Pasivo*",,0,"off_balance",
"7_co_com_puc_210000","210000","Obligaciones Financieras",,0,"off_balance",
"7_co_com_puc_210500","210500","Bancos Nacionales",,0,"off_balance",
"7_co_com_puc_210505","210505","Sobregiros","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210506","210506","Pagares Ley 550","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210510","210510","Pagarés","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210515","210515","Cartas De Crédito","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210520","210520","Aceptaciones Bancarias","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210595","210595","Otras Obligaciones Bancos Nacionales","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_210599","210599","Deterioro Obligaciones Bancos Nacionales","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211000","211000","Bancos Del Exterior",,0,"off_balance",
"7_co_com_puc_211005","211005","Sobregiros","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211010","211010","Pagarés","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211015","211015","Cartas De Crédito","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211020","211020","Aceptaciones Bancarias","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211095","211095","Otras Obligaciones Bancos Del Exterior","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211099","211099","Deterioro Obligaciones Bancos Del Exterior","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211500","211500","Corporaciones Financieras",,0,"off_balance",
"7_co_com_puc_211505","211505","Pagarés","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211510","211510","Aceptaciones Financieras","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211515","211515","Cartas De Crédito","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211520","211520","Contratos De Arrendamiento Financiero (Leasing)","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211595","211595","Otras Obligaciones Corporaciones Financieras","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_211599","211599","Deterioro Obligaciones Corporaciones Financieras","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212000","212000","Compañías De Financiamiento Comercial",,0,"off_balance",
"7_co_com_puc_212005","212005","Pagarés","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212010","212010","Aceptaciones Financieras","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212020","212020","Contratos De Arrendamiento Financiero (Leasing)","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212095","212095","Otras Obligaciones Compañías De Financiamiento Comercial","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212099","212099","Deterioro Obligaciones Compañías De Financiamiento Comercial","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212500","212500","Corporaciones De Ahorro Y Vivienda",,0,"off_balance",
"7_co_com_puc_212505","212505","Sobregiros","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212510","212510","Pagarés","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212515","212515","Hipotecarias","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
"7_co_com_puc_212595","212595","Otras Obligaciones Corporaciones De Ahorro Y Vivienda","group_2_2_obl_fin",0,"liability_current","1009_2203_N"
