id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_265020,265020,Riesgos Laborales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265025,265025,Seguro Obligatorio De Daños Corporales Causados A Las  Personas En Accidentes De Tránsito Soat,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265030,265030,Pagos De Beneficios Educativos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265095,265095,Otra Reserva Para Siniestros Avisados,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2655,2655,Reserva Para Siniestros No Avisados,,0,off_balance,chart_template_niif_financiero,
niif_fin_265505,265505,Seguros De Daños,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265510,265510,Seguros De Personas,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265515,265515,Seguros Previsionales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265520,265520,Riesgos Laborales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265525,265525,Seguros Obligatorios,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265595,265595,Otra Reserva Para Siniestros No Avisados,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2660,2660,Reserva Para Siniestros Pendientes Garantizados Por La Nación,,0,off_balance,chart_template_niif_financiero,
niif_fin_266005,266005,Seguro De Crédito A La Exportación Para Riesgos Políticos Y Extraordinarios,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_266095,266095,Otra Reserva Para Siniestros Pendientes Garantizados Por La Nación,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2665,2665,Reservas Especiales,,0,off_balance,chart_template_niif_financiero,
niif_fin_266505,266505,Reaseguradores Interior,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
