"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description","invoice_label","name@es","description@es","price_include_override"
"co_sol_tax_rtefte_3_5gt","1","RteFte 3.5%","3.5","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 3.5% Sale Service Fees Software Licenses, Web Design and IT Consulting Fees, Real Estate Leases","RteFte3.5%<","RteFte 3.5%<","RteFte 3.5% Venta Software, Diseño Web, Consultoría Informática, Arriendo Inmuebles",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_4gt","1","RteFte 4%>","4.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 4% Sale Lease Furnitures","RteFte4.0%<","RteFte 4%<","RteFte 4% Venta Arriendo Mobiliario",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_6gt","1","RteFte 6%>","6.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte Sale Services in General Individuals Not Declarant","RteFte6%<","RteFte 6%<","RteFte 6% Venta Servicios Generales No Declarantes",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_7gt","1","RteFte 7%>","7.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 7% Sale General Financial Income","RteFte7%<","RteFte 7%<","RteFte 7% Venta Servicios Financieros en General",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_10gt","1","RteFte 10%>","10.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 10% Sale Commissions Natural Person","RteFte10%<","RteFte 10%<","RteFte 10% Venta Honoraios Persona Natural",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rtefte_11gt","1","RteFte 11%>","11.0","percent","sale","tax_group_rtefte",,,"base","invoice",,"RteFte 11% Sale Fees Legal Entity","RteFte11%<","RteFte 11%<","RteFte 11% Venta Honorarios Persona Juridica",
,,,,,,,,,"tax","invoice","co_puc_164010",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164010",,,,,
"co_sol_tax_rteica_0gt","1","0% RteIca 0%>","0.0","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0% Sale","RteIca0%<","RteIca 0%<","RteIca 0% Venta",
,,,,,,,,,"tax","invoice",,,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund",,,,,,
"co_sol_tax_rteica_0_414gt","1","RteIca 0.414%>","0.414","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.414% Sale","RteIca0.414%<","RteIca 0.414%<","RteIca 0.414% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_0_69gt","1","RteIca 0.69%>","0.69","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.69% Sale","RteIca0.69%<","RteIca 0.69%<","RteIca 0.69% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_0_966gt","1","RteIca 0.966%>","0.966","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 0.966% Sale","RteIca0.966%<","RteIca 0.966%<","RteIca 0.966% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_1_104gt","1","RteIca 1.104%>","1.104","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 1.104% Sale","RteIca1.104%<","RteIca 1.104%<","RteIca 1.104% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
"co_sol_tax_rteica_1_38gt","1","RteIca 1.38%>","1.38","percent","sale","tax_group_rteica",,,"base","invoice",,"RteIca 1.38% Sale","RteIca1.38%<","RteIca 1.38%<","RteIca 1.38% Venta",
,,,,,,,,,"tax","invoice","co_puc_164020",,,,,
,,,,,,,,,"base","refund",,,,,,
,,,,,,,,,"tax","refund","co_puc_164020",,,,,
