id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_4838,5055,54838,rural,054838 - Sin Informacion de Veredas
zip_co_05_5860,5059,55860,urban,055860 - Sin Informacion de Veredas
zip_co_05_5867,5059,55867,rural,055867 - Alto del Carral- Arbolitos-  Cabecera Municipal-  Cangrejo-  Cartagueño-  Chachafruto-  Crucero-  El Socorro-  La Herradura-  La Hondura-  La Loma-  La Pava-  La Pescadora-  La Quiebra-  Moritos-  Palmichal
zip_co_05_1020,5079,51020,urban,051020 - Buga- Graciano-  La Playa-  Las Peñas
zip_co_05_1027,5079,51027,rural,051027 - Altamira- Cestilla-  El Guayabo-  Iborra-  La Ese-  La Lomita-  La Montañita-  Paraiso-  Romazón-  Tablazo Hatillo
zip_co_05_1028,5079,51028,rural,051028 - Aguas Claras Abajo- Aguas Claras Arriba-  Arango-  Buenos Aires-  Cabecera Municipal-  Chorro Hondo-  Corrientes-  Dos Quebradas-  El Contado-  El Hatillo-  El Hoyo-  El Uvito-  El Viento-  Encenillos-  Guamito-  Guayabal-  Isaza-  La Aguada-  La Aldea-
zip_co_05_1420,5086,51420,urban,051420 - Sin Informacion de Veredas
zip_co_05_1427,5086,51427,rural,051427 - Abejas- Aragón-  Cabecera Municipal-  Chachafruto-  Comun Cominal-  El Caribe-  El Chocho-  El Congo-  El Socorro-  El Topacio-  El Valle-  El Zancudo-  Encenillos-  Filo del Medio-  Filo Grande-  La Aldea-  La Amoladora-  La Candelaria-  La Candelaria-
zip_co_05_1050,5088,51050,urban,051050 - Altos de Niquia- Ciudad Niquia- Ciudadela del Norte- Guasimalito- La Navarra- Niquia Bifamiliar- Panamericano- Quitasol
zip_co_05_1051,5088,51051,urban,051051 - Acevedo- Acevedo Bello- Alcalá- Fontiqueño- La Camila- La Estación- La Gabriela- Las Vegas- Santa Rita- Zamora- Zona Industrial No 2- Zona Industrial No 3
zip_co_05_1052,5088,51052,urban,051052 - El Cafetal- José Antonio Galán- La Esmeralda- La Florida- La Gran Avenida- La Madera- La Pradera- Las Cabañas- Las Cabañitas- Los Sauces- Maruchenga- Nuevo- París- Salvador Allende
zip_co_05_1053,5088,51053,urban,051053 - Altavista- Andalucía- Central- Centro- Congolo- El Cairo- El Rosario- Espíritu Santo- La Mesa- Las Granjas- Manchester- Milagrosa- Nazareth- Prado- Puerto Bello- Pérez- Rincón Santo- Salento- San José Obrero- Santa Ana- Suárez- Zona Industrial No 1
zip_co_05_1054,5088,51054,urban,051054 - Bellavista- Briceño- Buenos Aires- El Carmelo- El Ducado- El Mirador- El Porvenir- La Aldea- La Primavera- La Selva- Los Alpes- Marco Tulio Henao- Pachelly- Paraíso- Playa Rica- San Gabriel- San Martín- Trapiche- Urapanes- Villas del Sol
zip_co_05_1057,5088,51057,rural,051057 - Sin Informacion de Veredas
zip_co_05_1058,5088,51058,rural,051058 - Boquerón- Cabecera Municipal-  Cabecera Municipal-  El Carmelo-  El Carmelo-  El Picacho-  Guasimalito Tierradentro-  La China-  La Ilusión-  La Unión-  Llano de Ovejas-  Monte Frío-  Ovejas-  Palmitas Sector Central-  Potreritos-  Primavera-  Sabanalarga
zip_co_05_1059,5088,51059,rural,051059 - La Veta
zip_co_05_6070,5091,56070,urban,056070 - Sin Informacion de Veredas
