id,name,,000000,accounts/external_id, - ,name,group_id:id,reconcile,user_type_id:id,chart_template_id:id,tag_ids:id
bdgtry_fin_1285,1285 - Derechos De Recompra De Cartera Negociada,128500,bdgtry_fin_1285,niif_fin_1285,1285,Derechos De Recompra De Cartera Negociada,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,128505,bdgtry_fin_128505,niif_fin_128505,128505,Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,128595,bdgtry_fin_128595,niif_fin_128595,128595,Otros Derechos De Recompra De Cartera Negociada,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_13,13 - Inversiones Y Operaciones Con Derivados,130000,bdgtry_fin_13,niif_fin_13,13,Inversiones Y Operaciones Con Derivados,,0,account.data_account_off_sheet,chart_template_niif_financiero,
bdgtry_fin_1301,1301 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,130100,bdgtry_fin_1301,niif_fin_1301,1301,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130105,bdgtry_fin_130105,niif_fin_130105,130105,T�tulos De Tesorer�a �Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130110,bdgtry_fin_130110,niif_fin_130110,130110,Otros T�tulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130115,bdgtry_fin_130115,niif_fin_130115,130115,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130120,bdgtry_fin_130120,niif_fin_130120,130120,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130195,bdgtry_fin_130195,niif_fin_130195,130195,Otros Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1302,1302 - Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,130200,bdgtry_fin_1302,niif_fin_1302,1302,Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130205,bdgtry_fin_130205,niif_fin_130205,130205,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130210,bdgtry_fin_130210,niif_fin_130210,130210,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130295,bdgtry_fin_130295,niif_fin_130295,130295,Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1303,1303 - Inversiones A Costo Amortizado,130300,bdgtry_fin_1303,niif_fin_1303,1303,Inversiones A Costo Amortizado,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130305,bdgtry_fin_130305,niif_fin_130305,130305,T�tulos De Tesorer�a - Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130310,bdgtry_fin_130310,niif_fin_130310,130310,Otros T�tulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130315,bdgtry_fin_130315,niif_fin_130315,130315,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130320,bdgtry_fin_130320,niif_fin_130320,130320,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130395,bdgtry_fin_130395,niif_fin_130395,130395,Otros Inversiones A Costo Amortizado,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1304,1304 - Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,130400,bdgtry_fin_1304,niif_fin_1304,1304,Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130405,bdgtry_fin_130405,niif_fin_130405,130405,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130410,bdgtry_fin_130410,niif_fin_130410,130410,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130495,bdgtry_fin_130495,niif_fin_130495,130495,Otros Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1305,1305 - Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),130500,bdgtry_fin_1305,niif_fin_1305,1305,Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130505,bdgtry_fin_130505,niif_fin_130505,130505,T�tulos De Tesorer�a �Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130510,bdgtry_fin_130510,niif_fin_130510,130510,Otros T�tulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130515,bdgtry_fin_130515,niif_fin_130515,130515,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130520,bdgtry_fin_130520,niif_fin_130520,130520,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130595,bdgtry_fin_130595,niif_fin_130595,130595,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia),group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1306,1306 - Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),130600,bdgtry_fin_1306,niif_fin_1306,1306,Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130605,bdgtry_fin_130605,niif_fin_130605,130605,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130610,bdgtry_fin_130610,niif_fin_130610,130610,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130695,bdgtry_fin_130695,niif_fin_130695,130695,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia),group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1307,1307 - Equipo De Computaci�n (Restituido),130700,bdgtry_fin_1307,niif_fin_1307,1307,Equipo De Computaci�n (Restituido),,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130705,bdgtry_fin_130705,niif_fin_130705,130705,T�tulos De Tesorer�a �Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130710,bdgtry_fin_130710,niif_fin_130710,130710,Otros T�tulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130715,bdgtry_fin_130715,niif_fin_130715,130715,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130720,bdgtry_fin_130720,niif_fin_130720,130720,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130795,bdgtry_fin_130795,niif_fin_130795,130795,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130805,bdgtry_fin_130805,niif_fin_130805,130805,Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130810,bdgtry_fin_130810,niif_fin_130810,130810,Otros Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130895,bdgtry_fin_130895,niif_fin_130895,130895,Otras Inversiones A Valor Razonable Con Cambios En El Origen Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1309,1309 - Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garant�a De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,130900,bdgtry_fin_1309,niif_fin_1309,1309,Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garant�a De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,130905,bdgtry_fin_130905,niif_fin_130905,130905,T�tulos De Tesorer�a �Tes,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130910,bdgtry_fin_130910,niif_fin_130910,130910,Otros T�tulos Emitidos Por El Gobierno Nacional,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130915,bdgtry_fin_130915,niif_fin_130915,130915,Otros Emisores Nacionales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130920,bdgtry_fin_130920,niif_fin_130920,130920,Emisores Extranjeros,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,130995,bdgtry_fin_130995,niif_fin_130995,130995,Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregadas En Garant�a De Operaciones Con Instrumentos Derivados - Instrumentos Representativos De Deuda ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1310,1310 - Co_Puc_Sol_5225,131000,bdgtry_fin_1310,niif_fin_1310,1310,Co_Puc_Sol_5225,,0,account.data_account_off_sheet,chart_template_niif_financiero,
