id,name,description,chart_template_id:id,type_tax_use,amount,sequence,price_include,tax_group_id:id,invoice_repartition_line_ids/id,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/account_id:id,refund_repartition_line_ids/id,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/account_id:id
,,,,,,,,,tax_tem_com_tax_iva_19slt,tax,100,puc_com_240805,tax_tem_com_tax_iva_19slt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19lt_afrp,Iva 19%afrp<,Iva19%afrp,chart_template_comercial,purchase,19,40,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19lt_afrp,base,,,tax_tem_com_base_iva_19lt_afrp_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19lt_afrp,tax,100,puc_com_135595,tax_tem_com_tax_iva_19lt_afrp_rfnd,tax,100,puc_com_135595
tax_tem_com_iva_19lt_afnrp,Iva 19%afnrp<,Iva19%afnrp,chart_template_comercial,purchase,19,41,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19lt_afnrp,base,,,tax_tem_com_base_iva_19lt_afnrp_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19lt_afnrp,tax,100,puc_com_152005,tax_tem_com_tax_iva_19lt_afnrp_rfnd,tax,100,puc_com_152005
tax_tem_com_iva_19gt_inc,[Iva 19%],[Iva19%],chart_template_comercial,sale,19,42,TRUE,tax_group_iva_01,tax_tem_com_base_iva_19gt_inc,base,,,tax_tem_com_base_iva_19gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19gt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_19gt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19sgt_inc,[Iva 19%s],[Iva19%s],chart_template_comercial,sale,19,43,TRUE,tax_group_iva_01,tax_tem_com_base_iva_19sgt_inc,base,,,tax_tem_com_base_iva_19sgt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19sgt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_19sgt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19slt_inc,[Iva 19%s]<,[Iva19%s],chart_template_comercial,purchase,19,44,TRUE,tax_group_iva_01,tax_tem_com_base_iva_19slt_inc,base,,,tax_tem_com_base_iva_19slt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19slt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_19slt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19lt_inc,[Iva 19%]<,[Iva19%],chart_template_comercial,purchase,19,45,TRUE,tax_group_iva_01,tax_tem_com_base_iva_19lt_inc,base,,,tax_tem_com_base_iva_19lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19lt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_19lt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_exe_0gt,Exento 0%,Exto0%,chart_template_comercial,sale,0,46,FALSE,tax_group_iva_01,tax_tem_com_base_exe_0gt,base,,,tax_tem_com_base_exe_0gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exe_0gt,tax,100,puc_com_240895,tax_tem_com_tax_exe_0gt_rfnd,tax,100,puc_com_240895
tax_tem_com_exc_0gt,Excluido 0%,Exdo0%,chart_template_comercial,sale,0,47,FALSE,tax_group_iva_01,tax_tem_com_base_exc_0gt,base,,,tax_tem_com_base_exc_0gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exc_0gt,tax,100,puc_com_240895,tax_tem_com_tax_exc_0gt_rfnd,tax,100,puc_com_240895
tax_tem_com_exe_0lt,Exento 0%<,Exto0%,chart_template_comercial,purchase,0,48,FALSE,tax_group_iva_01,tax_tem_com_base_exe_0lt,base,,,tax_tem_com_base_exe_0lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exe_0lt,tax,100,puc_com_240895,tax_tem_com_tax_exe_0lt_rfnd,tax,100,puc_com_240895
tax_tem_com_iva_0gt,Iva 0%,Iva0%,chart_template_comercial,sale,0,49,FALSE,tax_group_iva_01,tax_tem_com_base_iva_0gt,base,,,tax_tem_com_base_iva_0gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_0gt,tax,100,puc_com_240895,tax_tem_com_tax_iva_0gt_rfnd,tax,100,puc_com_240895
tax_tem_com_exe_0gt_inc,[Exento 0%],[Exto0%],chart_template_comercial,sale,0,50,TRUE,tax_group_iva_01,tax_tem_com_base_exe_0gt_inc,base,,,tax_tem_com_base_exe_0gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exe_0gt_inc,tax,100,puc_com_240895,tax_tem_com_tax_exe_0gt_inc_rfnd,tax,100,puc_com_240895
tax_tem_com_exe_0lt_inc,[Exento 0%]<,[Exto0%],chart_template_comercial,purchase,0,51,TRUE,tax_group_iva_01,tax_tem_com_base_exe_0lt_inc,base,,,tax_tem_com_base_exe_0lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exe_0lt_inc,tax,100,puc_com_240895,tax_tem_com_tax_exe_0lt_inc_rfnd,tax,100,puc_com_240895
tax_tem_com_exc_0lt,Excluido 0%<,Exdo0%,chart_template_comercial,purchase,0,52,FALSE,tax_group_iva_01,tax_tem_com_base_exc_0lt,base,,,tax_tem_com_base_exc_0lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exc_0lt,tax,100,puc_com_240895,tax_tem_com_tax_exc_0lt_rfnd,tax,100,puc_com_240895
tax_tem_com_exc_0gt_inc,[Excluido 0%],[Exdo0%],chart_template_comercial,sale,0,53,TRUE,tax_group_iva_01,tax_tem_com_base_exc_0gt_inc,base,,,tax_tem_com_base_exc_0gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_exc_0gt_inc,tax,100,puc_com_240895,tax_tem_com_tax_exc_0gt_inc_rfnd,tax,100,puc_com_240895
