id,invoice_tax_id:id,repartition_type,factor_percent,account_id:id,refund_tax_id:id
tax_tem_com_base_aurva_2_5gt_sl,tax_tem_com_aurva_2_5gt_sl,base,,,
tax_tem_com_tax_aurva_2_5gt_sl,tax_tem_com_aurva_2_5gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_2_5gt_sl_rfnd,,base,,,tax_tem_com_aurva_2_5gt_sl
tax_tem_com_tax_aurva_2_5gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_2_5gt_sl
tax_tem_com_base_aurva_2_85gt_bs,tax_tem_com_aurva_2_85gt_bs,base,,,
tax_tem_com_tax_aurva_2_85gt_bs,tax_tem_com_aurva_2_85gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_2_85gt_bs_rfnd,,base,,,tax_tem_com_aurva_2_85gt_bs
tax_tem_com_tax_aurva_2_85gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_2_85gt_bs
tax_tem_com_base_aurva_2_85gt_sl,tax_tem_com_aurva_2_85gt_sl,base,,,
tax_tem_com_tax_aurva_2_85gt_sl,tax_tem_com_aurva_2_85gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_2_85gt_sl_rfnd,,base,,,tax_tem_com_aurva_2_85gt_sl
tax_tem_com_tax_aurva_2_85gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_2_85gt_sl
tax_tem_com_base_aurva_5gt_bs,tax_tem_com_aurva_5gt_bs,base,,,
tax_tem_com_tax_aurva_5gt_bs,tax_tem_com_aurva_5gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_5gt_bs_rfnd,,base,,,tax_tem_com_aurva_5gt_bs
tax_tem_com_tax_aurva_5gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_5gt_bs
tax_tem_com_base_aurva_5gt_sl,tax_tem_com_aurva_5gt_sl,base,,,
tax_tem_com_tax_aurva_5gt_sl,tax_tem_com_aurva_5gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_5gt_sl_rfnd,,base,,,tax_tem_com_aurva_5gt_sl
tax_tem_com_tax_aurva_5gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_5gt_sl
tax_tem_com_base_aurva_8gt_bs,tax_tem_com_aurva_8gt_bs,base,,,
tax_tem_com_tax_aurva_8gt_bs,tax_tem_com_aurva_8gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_8gt_bs_rfnd,,base,,,tax_tem_com_aurva_8gt_bs
tax_tem_com_tax_aurva_8gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_8gt_bs
tax_tem_com_base_aurva_8gt_sl,tax_tem_com_aurva_8gt_sl,base,,,
tax_tem_com_tax_aurva_8gt_sl,tax_tem_com_aurva_8gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_8gt_sl_rfnd,,base,,,tax_tem_com_aurva_8gt_sl
tax_tem_com_tax_aurva_8gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_8gt_sl
tax_tem_com_base_aurva_9_5gt_bs,tax_tem_com_aurva_9_5gt_bs,base,,,
tax_tem_com_tax_aurva_9_5gt_bs,tax_tem_com_aurva_9_5gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_9_5gt_bs_rfnd,,base,,,tax_tem_com_aurva_9_5gt_bs
tax_tem_com_tax_aurva_9_5gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_9_5gt_bs
tax_tem_com_base_aurva_9_5gt_sl,tax_tem_com_aurva_9_5gt_sl,base,,,
tax_tem_com_tax_aurva_9_5gt_sl,tax_tem_com_aurva_9_5gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_9_5gt_sl_rfnd,,base,,,tax_tem_com_aurva_9_5gt_sl
tax_tem_com_tax_aurva_9_5gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_9_5gt_sl
tax_tem_com_base_cree_4gt,tax_tem_com_cree_4gt,base,,,
tax_tem_com_tax_cree_4gt,tax_tem_com_cree_4gt,tax,100,puc_com_236710,
tax_tem_com_base_cree_4gt_rfnd,,base,,,tax_tem_com_cree_4gt
tax_tem_com_tax_cree_4gt_rfnd,,tax,100,puc_com_236710,tax_tem_com_cree_4gt
tax_tem_com_base_cree_4gt_bs,tax_tem_com_cree_4gt_bs,base,,,
tax_tem_com_tax_cree_4gt_bs,tax_tem_com_cree_4gt_bs,tax,100,puc_com_236710,
tax_tem_com_base_cree_4gt_bs_rfnd,,base,,,tax_tem_com_cree_4gt_bs
tax_tem_com_tax_cree_4gt_bs_rfnd,,tax,100,puc_com_236710,tax_tem_com_cree_4gt_bs
tax_tem_com_base_cree_4gt_sl,tax_tem_com_cree_4gt_sl,base,,,
tax_tem_com_tax_cree_4gt_sl,tax_tem_com_cree_4gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_cree_4gt_sl_rfnd,,base,,,tax_tem_com_cree_4gt_sl
tax_tem_com_tax_cree_4gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_cree_4gt_sl
tax_tem_com_base_exc_0gt,tax_tem_com_exc_0gt,base,,,
tax_tem_com_tax_exc_0gt,tax_tem_com_exc_0gt,tax,100,puc_com_240895,
tax_tem_com_base_exc_0gt_rfnd,,base,,,tax_tem_com_exc_0gt
tax_tem_com_tax_exc_0gt_rfnd,,tax,100,puc_com_240895,tax_tem_com_exc_0gt
tax_tem_com_base_exc_0gt_inc,tax_tem_com_exc_0gt_inc,base,,,
tax_tem_com_tax_exc_0gt_inc,tax_tem_com_exc_0gt_inc,tax,100,puc_com_240895,
tax_tem_com_base_exc_0gt_inc_rfnd,,base,,,tax_tem_com_exc_0gt_inc
tax_tem_com_tax_exc_0gt_inc_rfnd,,tax,100,puc_com_240895,tax_tem_com_exc_0gt_inc
tax_tem_com_base_exc_0lt,tax_tem_com_exc_0lt,base,,,
